PassengerId,Cabin,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True
0020_04,E/0/S,10.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,1,0,0,1,0,0,0,1,1,0
0020_05,E/0/S,1.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,0,1,0,0,0,1,0,1,0,1,0
0020_06,E/0/S,7.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,0,1,0,0,1,0,0,0,1,1,0
0022_01,D/0/P,21.0,980.0,2.0,69.0,0.0,0.0,,0,0,0,1,1,0,0,0,1,1,0
0024_01,C/2/S,62.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,1,0,1,0,0,1,0,0,1,1,0
0025_01,F/6/S,15.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,0,1,0,0,1,0,0,0,1,1,0
0026_01,C/0/P,34.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,0,1,0,1,0,1,0,0,1,0
0028_01,F/8/P,43.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,0,0,1,1,0,0,0,1,1,0
0030_01,G/4/S,32.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,0,1,0,0,1,0,0,0,1,1,0
0031_01,F/9/P,47.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,1,0,0,1,1,0,0,0,1,1,0
0031_02,F/9/P,2.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,1,0,0,1,1,0,0,0,1,1,0
0031_03,F/9/P,20.0,0.0,0.0,1750.0,990.0,0.0,Dontch Datie,1,0,0,1,1,0,0,0,1,1,0
0034_01,D/1/S,28.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,1,0,1,0,0,1,1,0,0,1,0
0035_01,D/1/P,23.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,0,0,1,1,0,1,0,0,1,0
0036_01,F/8/S,15.0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,0,1,0,0,1,0,1,0,0,1,0
0038_01,F/10/S,20.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,0,1,0,0,1,0,1,0,0,1,0
0039_01,G/1/P,30.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,0,1,0,0,0,1,1,0,0,1,0
0041_01,G/2/P,17.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,1,0,0,0,1,0,0,1,1,0
0043_01,B/3/P,45.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0,0,1,0,1,0,0,0,1,1,0
0044_01,G/3/P,55.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,0,1,0,0,0,1,0,0,1,1,0
0044_02,G/3/P,4.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,1,0,0,0,1,1,0,0,1,0
0044_03,G/3/P,21.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,1,0,0,0,1,0,1,0,1,0
0045_01,F/10/P,21.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0,0,0,1,1,0,0,0,1,1,0
0045_02,F/10/P,19.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,1,0,0,1,0,1,0,0,1,1,0
0050_01,E/1/S,35.0,790.0,0.0,0.0,0.0,0.0,Sony Lancis,0,1,0,0,1,0,1,0,0,1,0
0051_01,E/2/S,56.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,0,1,0,0,1,0,0,0,1,1,0
0052_01,G/6/S,24.0,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,0,1,0,0,1,0,0,0,1,1,0
0053_01,F/11/S,25.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1,1,0,0,1,0,0,0,1,1,0
0056_01,A/1/S,2.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,1,0,1,0,1,0,0,0,1,1,0
0056_02,A/1/S,38.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,1,0,1,0,0,1,0,0,1,1,0
0056_03,A/1/S,27.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,1,0,1,0,1,0,0,0,1,1,0
0058_01,G/7/S,36.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,0,1,0,0,0,1,0,1,0,1,0
0061_01,F/12/S,22.0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,0,1,0,0,1,0,0,0,1,1,0
0062_01,F/13/S,62.0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,0,1,0,0,1,0,0,0,1,1,0
0064_01,F/14/S,15.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,1,0,1,0,0,1,1,0
0064_02,E/3/S,33.0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,1,1,0,0,0,1,0,0,1,1,0
0066_01,G/6/P,62.0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,0,1,0,0,1,0,0,0,1,1,0
0067_01,G/10/S,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,1,0,0,0,1,0,1,0,1,0
0067_02,G/10/S,18.0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1,1,0,0,1,0,0,0,1,1,0
0067_03,F/15/S,21.0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,0,1,0,0,1,0,1,0,0,1,0
0068_01,E/4/S,24.0,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0,0,0,1,1,0,0,0,1,1,0
0069_01,F/16/S,42.0,887.0,0.0,9.0,6.0,0.0,,1,1,0,0,1,0,0,0,1,1,0
0070_01,F/13/P,19.0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,0,1,0,0,1,0,0,0,1,1,0
0071_01,F/14/P,17.0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,0,1,0,0,1,0,0,0,1,1,0
0072_01,F/17/S,14.0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,0,1,0,0,1,0,0,0,1,1,0
0073_01,D/3/P,37.0,46.0,83.0,738.0,0.0,12.0,Gorn Make,0,0,0,1,1,0,0,1,0,1,0
0074_01,C/3/S,42.0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,1,0,1,0,1,0,0,0,1,1,0
0076_01,F/18/S,27.0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,1,0,0,1,1,0,0,0,1,1,0
0077_01,F/15/P,28.0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,1,0,0,1,1,0,0,0,1,1,0
0078_01,C/4/S,38.0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0,0,1,0,1,0,0,0,1,1,0
0081_01,G/13/S,13.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,0,1,0,0,0,1,0,0,1,1,0
0082_01,F/16/P,42.0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0,0,0,1,1,0,0,0,1,1,0
0082_02,F/16/P,2.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,1,0,0,1,0,1,0,0,1,1,0
0082_03,F/16/P,8.0,0.0,0.0,0.0,0.0,0.0,,1,0,0,1,1,0,0,0,1,1,0
0084_01,G/14/S,24.0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1,1,0,0,1,0,0,0,1,1,0
0085_01,C/5/S,40.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,1,0,1,0,0,1,0,0,1,1,0
0086_01,F/17/P,43.0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,0,1,0,0,1,0,0,0,1,1,0
0088_01,E/5/S,45.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,1,0,0,1,0,1,0,1,0,1,0
0090_01,G/15/S,35.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1,1,0,0,0,1,0,0,1,1,0
0091_01,G/16/S,26.0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,1,1,0,0,0,1,0,0,1,1,0
0091_02,F/20/S,27.0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,0,1,0,0,1,0,0,0,1,1,0
0092_01,G/9/P,19.0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,0,1,0,0,1,0,0,0,1,1,0
0092_02,G/9/P,0.0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,1,1,0,0,0,1,0,0,1,1,0
0092_03,G/9/P,3.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1,1,0,0,0,1,0,0,1,1,0
0097_01,A/2/S,54.0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0,0,1,0,1,0,0,0,1,1,0
0098_01,G/11/P,26.0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,0,1,0,0,1,0,0,0,1,1,0
0098_02,G/11/P,26.0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1,1,0,0,1,0,0,0,1,1,0
0099_01,F/19/P,23.0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,0,1,0,0,1,0,0,1,0,1,0
0099_02,G/12/P,2.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1,1,0,0,1,0,0,0,1,1,0
0101_01,,31.0,0.0,0.0,0.0,0.0,0.0,Book Trad,1,0,0,1,0,1,0,0,1,1,0
0102_01,F/23/S,18.0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,0,1,0,0,1,0,0,0,1,1,0
0103_01,F/24/S,24.0,0.0,0.0,0.0,0.0,17.0,Arlen Mclainez,1,1,0,0,1,0,0,0,1,1,0
0103_02,G/18/S,9.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1,1,0,0,0,1,1,0,0,1,0
0103_03,G/18/S,6.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,0,1,0,0,0,1,0,0,1,1,0
0105_01,F/21/P,27.0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,0,1,0,0,1,0,0,0,1,1,0
0107_01,D/2/S,21.0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0,0,0,1,1,0,0,0,1,1,0
0108_01,G/19/S,23.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,0,1,0,0,0,1,0,0,1,1,0
0108_02,G/19/S,31.0,562.0,0.0,326.0,0.0,0.0,,0,1,0,0,1,0,0,0,1,1,0
0108_03,G/19/S,0.0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1,1,0,0,1,0,0,0,1,1,0
0110_01,,32.0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0,0,1,0,1,0,0,0,1,1,0
0110_02,B/5/P,40.0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0,0,1,0,1,0,0,0,1,1,0
0110_03,B/5/P,42.0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,1,0,1,0,1,0,0,0,1,1,0
0110_04,B/5/P,28.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,1,0,1,0,0,1,0,0,1,1,0
0111_01,E/6/S,29.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,1,0,1,0,0,1,0,0,1,1,0
0112_01,B/1/S,48.0,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,1,0,1,0,1,0,1,0,0,0,1
0113_01,F/23/P,64.0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1,1,0,0,1,0,0,0,1,1,0
0114_01,G/20/S,27.0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,0,1,0,0,1,0,0,0,1,1,0
0115_01,F/24/P,26.0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,1,0,0,1,1,0,0,0,1,1,0
0116_01,D/4/P,33.0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,1,0,1,0,1,0,0,0,1,1,0
0119_01,A/0/P,39.0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0,1,0,0,1,0,0,0,1,1,0
0119_02,A/0/P,13.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,1,0,1,0,0,1,0,0,1,1,0
0120_01,F/25/P,24.0,0.0,0.0,0.0,0.0,0.0,Bees Sacre,1,0,0,1,0,1,0,0,1,1,0
0122_01,G/21/S,29.0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,0,1,0,0,1,0,0,0,1,1,0
0123_01,F/27/P,18.0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,0,1,0,0,1,0,0,0,1,1,0
0126_01,F/27/S,67.0,0.0,0.0,0.0,0.0,0.0,Milly Mish,1,0,0,1,0,1,0,0,1,1,0
0127_01,E/7/S,35.0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0,0,0,1,1,0,0,0,1,1,0
0128_01,D/3/S,61.0,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0,0,0,1,1,0,0,0,1,0,1
0128_02,E/8/S,45.0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0,0,0,1,1,0,0,0,1,1,0
0129_01,G/22/S,22.0,0.0,0.0,0.0,0.0,0.0,Race Fowles,1,1,0,0,0,1,0,1,0,1,0
0133_01,F/29/S,19.0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,1,0,0,1,0,1,0,0,1,1,0
0133_02,D/5/S,36.0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0,0,0,1,1,0,0,0,1,1,0
0134_01,G/17/P,19.0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,1,1,0,0,1,0,0,0,1,1,0
0136_01,G/23/S,47.0,97.0,418.0,126.0,25.0,55.0,,0,1,0,0,1,0,0,1,0,1,0
0138_01,G/18/P,13.0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,1,1,0,0,0,1,0,0,1,1,0
0138_02,E/5/P,34.0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,0,1,0,0,1,0,0,0,1,1,0
0139_01,C/6/S,35.0,0.0,0.0,0.0,0.0,0.0,Charda Myling,1,0,1,0,0,1,1,0,0,1,0
0140_01,G/19/P,24.0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,1,1,0,0,0,1,0,0,1,1,0
0140_02,F/29/P,26.0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,0,1,0,0,1,0,0,0,1,1,0
0141_01,F/30/P,31.0,0.0,0.0,97.0,0.0,0.0,Pyrohs Harte,0,0,0,1,1,0,0,0,1,1,0
0144_01,F/31/S,20.0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,1,1,0,0,1,0,0,0,1,1,0
0146_01,G/25/S,56.0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,0,1,0,0,1,0,0,0,1,1,0
0147_01,G/26/S,50.0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,1,1,0,0,0,1,0,0,1,1,0
0148_01,F/31/P,42.0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0,0,0,1,1,0,0,0,1,1,0
0149_01,G/27/S,24.0,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,1,1,0,0,0,1,1,0,0,1,0
0151_01,G/20/P,38.0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,0,1,0,0,0,1,1,0,0,1,0
0152_01,F/32/P,41.0,0.0,0.0,0.0,0.0,607.0,Andan Estron,0,1,0,0,1,0,0,0,1,1,0
0160_01,G/22/P,22.0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,0,1,0,0,1,0,0,0,1,1,0
0163_01,B/8/P,26.0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,1,0,1,0,0,1,0,0,1,1,0
0163_02,B/8/P,17.0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,1,0,1,0,0,1,0,0,1,1,0
0164_01,G/28/S,57.0,50.0,1688.0,0.0,0.0,135.0,Fany Hutchinton,1,1,0,0,1,0,0,0,1,1,0
0164_02,G/28/S,17.0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,0,1,0,0,0,1,0,1,0,1,0
0165_01,F/37/P,35.0,0.0,0.0,0.0,0.0,0.0,Graven Anche,1,0,0,1,0,1,0,0,1,1,0
0167_01,F/35/S,13.0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,1,0,0,1,0,1,0,0,1,1,0
0167_02,F/35/S,27.0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0,0,0,1,1,0,0,0,1,1,0
0169_01,G/23/P,31.0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,0,1,0,0,0,1,0,0,1,1,0
0170_01,E/10/S,24.0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,0,1,0,0,1,0,0,0,1,1,0
0171_01,G/30/S,19.0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,1,1,0,0,0,1,0,1,0,1,0
0172_01,G/24/P,32.0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,1,1,0,0,0,1,0,0,1,1,0
0173_01,E/11/S,58.0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,1,1,0,0,1,0,0,0,1,1,0
0174_01,F/38/P,21.0,287.0,0.0,16.0,115.0,175.0,Doryn Lambles,0,1,0,0,1,0,1,0,0,1,0
0177_01,B/2/S,38.0,0.0,10346.0,1.0,14970.0,2111.0,Toperon Iniouser,0,0,1,0,1,0,0,0,1,1,0
0178_01,D/6/S,38.0,3414.0,0.0,161.0,28.0,119.0,Wees Knik,0,0,0,1,1,0,0,0,1,1,0
0179_01,G/26/P,19.0,1.0,219.0,673.0,2.0,11.0,Elaney Webstephrey,1,1,0,0,1,0,0,0,1,1,0
0179_02,G/26/P,0.0,0.0,0.0,0.0,0.0,0.0,Raque Webstephrey,0,1,0,0,1,0,0,0,1,1,0
0179_03,G/26/P,3.0,0.0,0.0,0.0,0.0,0.0,Sallyl Webstephrey,1,1,0,0,1,0,0,0,1,1,0
0181_01,G/27/P,20.0,0.0,0.0,3.0,299.0,92.0,Nancis Brighttt,0,1,0,0,1,0,0,0,1,1,0
0182_01,C/3/P,24.0,0.0,0.0,0.0,0.0,0.0,Ksorab Disight,1,0,1,0,0,1,0,0,1,1,0
0183_01,F/36/S,37.0,17.0,146.0,426.0,0.0,232.0,Stany Weaves,1,1,0,0,1,0,0,0,1,1,0
0186_01,G/28/P,25.0,62.0,0.0,0.0,0.0,956.0,Camiet Shephendry,0,1,0,0,1,0,0,0,1,1,0
0188_01,G/31/S,56.0,0.0,0.0,0.0,0.0,0.0,Branda Romez,1,1,0,0,0,1,0,0,1,1,0
0189_01,E/8/P,49.0,84.0,3.0,401.0,202.0,98.0,Helly Booters,0,1,0,0,1,0,1,0,0,1,0
0190_01,G/32/S,11.0,0.0,0.0,0.0,0.0,0.0,,0,1,0,0,0,1,1,0,0,1,0
0192_01,G/29/P,1.0,0.0,0.0,0.0,0.0,0.0,Tance Adavisons,1,1,0,0,0,1,0,0,1,1,0
0192_02,G/29/P,8.0,0.0,0.0,0.0,0.0,0.0,Robyny Adavisons,0,1,0,0,1,0,0,0,1,1,0
0192_03,G/29/P,39.0,0.0,0.0,10.0,898.0,0.0,Lilace Adavisons,0,1,0,0,1,0,0,0,1,1,0
0193_01,F/41/P,2.0,0.0,0.0,0.0,0.0,0.0,Sps Raf,1,0,0,1,0,1,0,0,1,1,0
0193_02,F/41/P,23.0,0.0,0.0,8.0,1072.0,0.0,Frook Raf,0,0,0,1,1,0,0,0,1,1,0
0193_03,F/41/P,0.0,0.0,0.0,0.0,0.0,0.0,Goles Raf,1,0,0,1,1,0,0,0,1,1,0
0195_01,F/42/P,39.0,406.0,0.0,867.0,0.0,0.0,Bar Floaf,1,0,0,1,1,0,0,0,1,1,0
0196_01,D/5/P,25.0,1052.0,0.0,719.0,0.0,7.0,Caper Emead,0,0,0,1,1,0,0,1,0,1,0
0197_01,C/5/P,36.0,0.0,972.0,0.0,795.0,575.0,Astrak Dissper,0,0,1,0,1,0,0,0,1,1,0
0198_01,G/30/P,52.0,0.0,0.0,0.0,0.0,0.0,Jeroy Cookson,1,1,0,0,1,0,0,1,0,1,0
0199_01,G/33/S,18.0,0.0,0.0,0.0,0.0,0.0,Regana Morrows,0,1,0,0,0,1,0,0,1,1,0
0200_01,G/31/P,15.0,0.0,0.0,0.0,0.0,0.0,Elia Colomonson,1,1,0,0,0,1,0,0,1,1,0
0201_01,B/3/S,35.0,0.0,0.0,0.0,0.0,0.0,Kaffias Bacistion,1,0,1,0,0,1,0,0,1,1,0
0201_02,B/3/S,47.0,0.0,0.0,0.0,0.0,0.0,Edaruma Bacistion,1,0,1,0,0,1,0,0,1,1,0
0202_01,B/9/P,45.0,0.0,0.0,0.0,0.0,0.0,Pomera Embleng,1,0,1,0,0,1,1,0,0,1,0
0202_02,A/2/P,24.0,0.0,2433.0,0.0,878.0,443.0,Vegas Embleng,1,0,1,0,1,0,1,0,0,1,0
0203_01,C/8/S,51.0,0.0,0.0,0.0,0.0,0.0,Ancham Heateele,1,0,1,0,0,1,0,0,1,1,0
0205_01,G/34/S,29.0,0.0,2.0,66.0,0.0,705.0,Carma Oneiles,0,1,0,0,1,0,0,0,1,1,0
0206_01,C/9/S,24.0,2.0,1720.0,12.0,1125.0,122.0,Nuson Brugashed,1,0,1,0,1,0,1,0,0,1,0
0207_01,G/32/P,19.0,0.0,0.0,0.0,0.0,0.0,Thony Mcfaddennon,0,1,0,0,0,1,0,1,0,1,0
0210_01,D/6/P,24.0,0.0,0.0,0.0,0.0,0.0,Arraid Inicont,1,1,0,0,0,1,1,0,0,1,0
0211_01,F/44/P,29.0,902.0,1.0,137.0,0.0,0.0,Pebuts Appie,1,0,0,1,1,0,0,0,1,1,0
0211_02,F/44/P,11.0,0.0,0.0,0.0,0.0,0.0,Corsh Appie,1,0,0,1,0,1,0,0,1,1,0
0211_03,F/44/P,17.0,848.0,0.0,307.0,182.0,0.0,Picers Date,0,0,0,1,1,0,0,0,1,1,0
0212_01,E/9/P,13.0,192.0,0.0,0.0,51.0,739.0,Inen Workmans,0,1,0,0,1,0,0,0,1,1,0
0212_02,F/45/P,35.0,147.0,188.0,0.0,10.0,387.0,Shally Workmans,0,1,0,0,1,0,0,0,1,1,0
0213_01,F/46/P,21.0,367.0,281.0,0.0,0.0,146.0,Carita Navages,0,1,0,0,1,0,0,0,1,1,0
0216_01,F/40/S,21.0,0.0,56.0,0.0,0.0,1918.0,Searla Garnes,0,1,0,0,1,0,1,0,0,1,0
0217_01,F/47/P,38.0,1517.0,0.0,0.0,27.0,0.0,Prilly Shieldson,0,1,0,0,1,0,0,0,1,1,0
0219_01,G/36/P,19.0,0.0,0.0,0.0,0.0,0.0,Nica River,1,1,0,0,0,1,0,0,1,1,0
0220_01,G/37/P,2.0,0.0,0.0,0.0,0.0,0.0,Tyle Wilsoney,1,1,0,0,0,1,0,0,1,1,0
0220_02,G/37/P,0.0,0.0,0.0,0.0,0.0,0.0,Wena Wilsoney,1,1,0,0,1,0,0,0,1,1,0
0220_03,G/37/P,13.0,0.0,0.0,0.0,0.0,0.0,Branca Wilsoney,0,1,0,0,0,1,0,0,1,1,0
0220_04,E/10/P,25.0,122.0,84.0,0.0,0.0,0.0,Dont Wilsoney,0,1,0,0,1,0,0,0,1,1,0
0220_05,F/48/P,16.0,0.0,3.0,0.0,0.0,1099.0,Velyne Wilsoney,0,1,0,0,1,0,0,0,1,1,0
0220_06,G/37/P,1.0,0.0,0.0,0.0,0.0,0.0,Weney Wilsoney,0,1,0,0,1,0,1,0,0,1,0
0220_07,G/37/P,15.0,0.0,0.0,0.0,0.0,0.0,Guye Wilsoney,1,1,0,0,0,1,0,0,1,1,0
0221_01,E/13/S,21.0,2237.0,0.0,119.0,0.0,0.0,Cowhex Blan,0,0,0,1,1,0,1,0,0,1,0
0221_02,E/13/S,23.0,1215.0,80.0,1.0,2.0,0.0,Yogark Reke,0,0,0,1,1,0,0,0,1,1,0
0221_03,E/13/S,33.0,1933.0,12.0,188.0,1.0,0.0,Jacks Reke,0,0,0,1,1,0,0,0,1,1,0
0221_04,E/13/S,21.0,0.0,0.0,0.0,0.0,0.0,Eerch Reke,1,0,0,1,0,1,0,0,1,1,0
